Raport la nivel de campanie
Toată perioada
Acțiune de conversie	Starea campaniei	Campanie	Buget	Numele bugetului	Tip de buget	Codul monedei	Stare	Motive pentru stare	Scorul de optimizare	Tipul campaniei	CPM med.	Af.	Interacțiuni	Rata de interacțiune	Cost mediu	Cost	Conv. (comparabil cu alte platforme)	Cost / Conv. (comparabil cu alte platforme)	Valoare conv. / Cost (comparabil cu alte platforme)	Tipul strategiei de licitare	Clicuri	Rata de conv.	Valoarea conversiilor	Valoare conv./Cost	Conversii	CPC med.	Cost/Conversie	Valoarea inițială a conv.
	Total: Generare de cerere					RON				Generare de cerere	"4,00"	598.543	13.466	"2,25%"	"0,18"	"2391,85"	"3,00"	"797,28"	"0,00"		13.356	"0,09%"	"0,00"	"0,00"	"11,66"	"0,18"	"205,20"	"0,00"
	Total: Inteligent					RON				Inteligent	0	0	0	 --	0	"0,00"	"0,00"	0	0		0	"0,00%"	"0,00"	"0,00"	"0,00"	0	"0,00"	"0,00"
Purchase	Total: Performanță maximă									Performanță maximă	0	0	0	 --	0	0	"0,00"	0	0		0	 --	"55.153,65"	0	"592,95"	0	0	"55.152,99"
Extras de Carte Funciara Online Conversie	Total: Căutați									Căutați	0	0	0	 --	0	0	"0,00"	0	0		0	 --	"0,00"	0	"129,00"	0	0	"0,00"
Certificat Constatator Online Conversie	Total: Căutați									Căutați	0	0	0	 --	0	0	"0,00"	0	0		0	 --	"0,00"	0	"129,00"	0	0	"0,00"
Transcriere Certificat de Naștere Conversie	Total: Căutați									Căutați	0	0	0	 --	0	0	"0,00"	0	0		0	 --	"0,00"	0	"1,00"	0	0	"0,00"
Conversația a început	Total: Căutați									Căutați	0	0	0	 --	0	0	"0,00"	0	0		0	 --	"0,00"	0	"0,00"	0	0	"0,00"
Apeluri din anunțuri	Total: Performanță maximă									Performanță maximă	0	0	0	 --	0	0	"0,00"	0	0		0	 --	"0,00"	0	"0,00"	0	0	"0,00"
Apeluri din anunțuri	Total: Căutați									Căutați	0	0	0	 --	0	0	"0,00"	0	0		0	 --	"13,00"	0	"13,00"	0	0	"2,00"
Coș de cumpărături	Total: Căutați									Căutați	0	0	0	 --	0	0	"0,00"	0	0		0	 --	"1.684,00"	0	"1.684,00"	0	0	"1.684,00"
Purchase	Total: Căutați									Căutați	0	0	0	 --	0	0	"0,00"	0	0		0	 --	"2.893.861,63"	0	"30.591,90"	0	0	"2.893.814,52"
Transcriere Certificat de Căsătorie Conversie	Total: Căutați									Căutați	0	0	0	 --	0	0	"0,00"	0	0		0	 --	"0,00"	0	"26,00"	0	0	"0,00"
Eliberare Certificat de Naștere Conversie	Total: Căutați									Căutați	0	0	0	 --	0	0	"0,00"	0	0		0	 --	"0,00"	0	"129,00"	0	0	"0,00"
Purchase	Total: Generare de cerere									Generare de cerere	0	0	0	 --	0	0	"3,00"	0	0		0	 --	"0,00"	0	"11,66"	0	0	"0,00"
