path,tip,status,indexability,indexability_status,word_count,sentence_count,avg_words_sentence,flesch,text_ratio,size_bytes,crawl_depth,folder_depth,inlinks,unique_inlinks,outlinks,unique_outlinks,external_outlinks,title_len,title_px,metadesc_len,metadesc_px,h1_len,canonical_self,meta_robots,response_time,gsc_clicuri_3luni,gsc_expuneri_3luni
/cum-aflam-numarul-carte-functionara-si-nr-cadastral/,articol,200,Indexable,,1627,241,6.751,42.794,6.151,216448,2,1,9,7,104,62,4,99,859,201,1231,85,da,"index, follow",0.232,4041,81712
/cum-vor-arata-documentele-de-stare-civila-2025/,articol,200,Indexable,,1032,153,6.745,26.854,5.187,190384,2,1,3,3,87,54,4,66,604,198,1165,52,da,"index, follow",0.138,324,10728
/curs-valutar/,articol,200,Indexable,,502,80,6.275,60.926,3.649,158759,1,1,237,232,83,53,4,76,661,164,931,20,da,"index, follow",0.064,336,186503
/duplicat-certificat-de-casatorie/,articol,200,Indexable,,1407,200,7.035,53.944,6.056,190470,2,1,5,5,90,56,4,74,625,173,981,60,da,"index, follow",0.079,14,582
/duplicat-certificat-de-nastere/,articol,200,Indexable,,1395,187,7.46,53.836,5.889,190904,2,1,9,6,90,56,4,79,676,175,1000,65,da,"index, follow",0.14,8,382
/eliberare-certificat-constatator-onrc-ghid/,articol,200,Indexable,,866,133,6.511,14.028,4.683,188610,2,1,5,5,87,55,4,71,632,195,1149,57,da,"index, follow",0.042,168,20395
/embed/ancpi/,embed,200,Non-Indexable,noindex,31,10,3.1,67.237,13.49,1412,3,2,0,0,1,1,0,55,504,0,0,0,nu,noindex,0.15,0,0
/extras-carte-funciara-gratuit/,articol,200,Indexable,,1183,203,5.828,54.676,5.107,198661,2,1,4,4,89,57,6,75,665,206,1224,61,da,"index, follow",0.052,711,17380
/extras-de-carte-funciara-pentru-casa-verde/,articol,200,Indexable,,1143,152,7.52,23.045,5.516,193500,2,1,2,2,87,54,4,76,700,227,1367,62,da,"index, follow",0.161,7,496
/gdpr/,legal,200,Indexable,,239,49,4.878,44.011,3.107,135820,1,1,235,232,83,53,5,38,346,98,593,24,da,"index, follow",0.23,0,46
/ghid-complet-certificat-de-integritate-comportamentala/,articol,200,Indexable,,717,121,5.926,21.237,4.131,187587,2,1,3,3,89,55,4,69,624,209,1205,55,da,"index, follow",0.139,925,28959
/informatii-cazier-auto-online/,articol,200,Indexable,,825,153,5.392,41.083,4.293,187925,2,1,4,4,85,54,4,56,486,183,1051,42,da,"index, follow",0.135,822,35488
/inregistrare-nastere-copil-nou-nascut/,articol,200,Indexable,,1490,216,6.898,49.995,6.358,193016,2,1,4,4,93,58,4,81,689,170,1006,67,da,"index, follow",0.128,0,40
/model-certificat-de-casatorie/,articol,200,Indexable,,587,88,6.67,57.671,3.66,174561,2,1,3,3,85,55,4,68,606,138,832,54,da,"index, follow",0.217,1,84
/politica-cookies/,legal,200,Indexable,,407,83,4.904,47.416,3.783,140804,1,1,234,232,83,53,4,36,305,117,709,22,da,"index, follow",0.093,1,697
/politica-de-anulare/,legal,200,Indexable,,781,123,6.35,55.563,5.1,147740,1,1,234,232,84,53,4,47,418,155,932,33,da,"index, follow",0.182,3,159
/politica-de-confidentialitate/,legal,200,Indexable,,1232,237,5.198,34.625,7.042,158966,1,1,238,232,82,53,5,43,364,209,1240,29,da,"index, follow",0.136,1,414
/radiere-firma-srl-ghid/,articol,200,Indexable,,971,148,6.561,47.53,4.82,185906,2,1,6,6,88,55,4,88,752,188,1103,74,da,"index, follow",0.056,18,592
/rolul-si-atributiile-onrc-romania/,articol,200,Indexable,,668,114,5.86,35.867,3.891,183555,2,1,3,3,86,55,4,91,765,189,1112,77,da,"index, follow",0.048,17,30042
/schimbare-certificat-de-nastere-vechi/,articol,200,Indexable,,864,133,6.496,49.548,4.431,183409,2,1,4,4,88,55,4,77,702,136,799,63,da,"index, follow",0.185,362,4911
/schimbare-sediu-social-srl-ghid/,articol,200,Indexable,,879,129,6.814,45.444,4.494,185506,1,1,5,5,88,57,4,93,831,185,1079,79,da,"index, follow",0.184,0,0
/servicii/,hub,200,Indexable,,837,288,2.906,46.309,2.004,399435,1,1,370,232,138,90,4,56,505,175,1000,18,da,"index, follow",0.048,20,1137
/servicii/actualizare-adresa-cf/,serviciu,200,Indexable,,2283,429,5.322,47.686,3.39,516413,1,2,236,232,92,54,7,64,583,316,1936,37,da,"index, follow",0.146,40,1421
/servicii/cazier-auto-online/,serviciu,200,Indexable,,3040,549,5.537,43.118,3.903,566928,1,2,526,232,89,55,7,79,681,178,1068,49,da,"index, follow",0.051,1692,22786
/servicii/cazier-fiscal-online/,serviciu,200,Indexable,,2700,501,5.389,48.427,3.628,540071,1,2,542,232,88,55,7,67,598,155,911,36,da,"index, follow",0.114,1,1
/servicii/cazier-judiciar-online/,serviciu,200,Indexable,,4793,879,5.453,38.878,4.515,770345,1,2,684,232,141,104,7,69,599,152,884,22,da,"index, follow",0.176,402,42742
/servicii/cazier-judiciar-online/alba-iulia/,locatie-cazier,200,Non-Indexable,noindex,1436,235,6.111,37.088,3.609,332939,2,3,49,49,142,103,7,71,618,162,949,62,da,"noindex, follow",0.489,0,0
/servicii/cazier-judiciar-online/alexandria/,locatie-cazier,200,Non-Indexable,noindex,1390,232,5.991,33.623,3.595,331319,2,3,49,49,142,103,7,76,688,167,996,62,da,"noindex, follow",0.519,0,0
/servicii/cazier-judiciar-online/arad/,locatie-cazier,200,Non-Indexable,noindex,1423,234,6.081,38.716,3.579,332472,2,3,49,49,142,103,7,65,580,156,924,56,da,"noindex, follow",0.486,0,0
/servicii/cazier-judiciar-online/bacau/,locatie-cazier,200,Non-Indexable,noindex,1406,233,6.034,38.009,3.566,332272,2,3,49,49,142,103,7,67,606,158,944,57,da,"noindex, follow",0.448,0,0
/servicii/cazier-judiciar-online/baia-mare/,locatie-cazier,200,Non-Indexable,noindex,1427,227,6.286,36.056,3.603,332764,2,3,49,49,142,103,7,75,689,166,999,61,da,"noindex, follow",0.419,0,0
/servicii/cazier-judiciar-online/barlad/,locatie-cazier,200,Non-Indexable,noindex,1327,196,6.77,35.991,3.542,320968,2,3,49,49,142,103,5,69,608,160,943,58,da,"noindex, follow",0.34,0,0
/servicii/cazier-judiciar-online/bistrita/,locatie-cazier,200,Non-Indexable,noindex,1393,231,6.03,34.308,3.594,333294,2,3,49,49,142,103,7,80,698,171,1007,60,da,"noindex, follow",0.459,0,0
/servicii/cazier-judiciar-online/botosani/,locatie-cazier,200,Non-Indexable,noindex,1401,231,6.065,33.472,3.598,331245,2,3,49,49,142,103,7,73,652,164,976,60,da,"noindex, follow",0.403,0,0
/servicii/cazier-judiciar-online/braila/,locatie-cazier,200,Non-Indexable,noindex,1404,223,6.296,37.15,3.565,332640,2,3,49,49,142,103,7,69,598,160,936,58,da,"noindex, follow",0.436,0,0
/servicii/cazier-judiciar-online/brasov/,locatie-cazier,200,Non-Indexable,noindex,1443,236,6.114,39.05,3.625,333408,2,3,49,49,142,103,7,69,618,160,952,58,da,"noindex, follow",0.37,0,0
